index,dong,name_subway,Latitude,Longitude,MF,EF,TF,SF,y
27,강동구,S_명일역,37.5374092,127.1411034,-0.47613994,-1.0734,1.14376,-1.537700177262907,0.03673416
28,강동구,S_상일동역,37.5555874,127.1475975,-0.47613994,-1.0734,1.10122,-1.6730597622280088,-0.130916306
29,강동구,S_암사역,37.5486728,127.1275525,-0.47613994,-1.0734,-1.93932,-1.2029252608006715,-0.742995228
30,강동구,S_중앙보훈병원,37.5372136,127.15142,-0.47613994,-1.0734,0.288835,-1.9160750492604361,-0.100165875
31,강동구,S_천호역,37.538274,127.14567,-0.47613994,-1.0734,-0.237417,-1.6744532580500406,-0.218656402
32,강북구,S_미아사거리역,37.6315748,127.0278216,1.095403878,-1.3588,1.53079,-0.4598645018905896,0.408898123
33,강북구,S_미아역,37.6315748,127.0278216,1.095403878,-1.3588,1.53079,-0.4598645018905896,0.408898123
34,강북구,S_수유역,37.6315748,127.0278216,1.095403878,-1.3588,0.318625,-0.4598645018905896,0.159728934
35,강서구,S_개화산역,37.5722225,126.8059564,-2.018744042,-0.786962,-0.657477,-1.7182692916574642,-1.010802427
36,강서구,S_김포공항역,37.5551049,126.8058738,-2.018744042,-0.786962,-0.623988,-1.2392740748265894,-0.975581706
37,강서구,S_까치산(5)역,37.5535944,126.8412653,-2.018744042,-0.786962,-3.82762,-0.25068001781095134,-1.802486771
38,강서구,S_마곡역,37.5533338,126.8510294,-2.018744042,-0.786962,1.2642,-0.1910283611348635,-0.731764567
39,강서구,S_발산역,37.5533338,126.8510294,-2.018744042,-0.786962,1.50321,-0.1910283611348635,-0.682634352
40,강서구,S_방화역,37.5746758,126.811399,-2.018744042,-0.786962,-0.647594,-1.6079745274169863,-0.99969373
41,강서구,S_송정역,37.5533338,126.8510294,-2.018744042,-0.786962,1.4823,-0.1910283611348635,-0.686932552
42,강서구,S_우장산역,37.5535944,126.8412653,-2.018744042,-0.786962,-3.82762,-0.25068001781095134,-1.802486771
43,강서구,S_화곡역,37.5488694,126.8451583,-2.018744042,-0.786962,-3.81778,-0.13792747776621028,-1.776024183
44,관악구,S_낙성대역,37.4795497,126.9433403,-0.794825809,-0.872329,1.18084,0.10825449149456177,-0.225874981
45,관악구,S_봉천역,37.4795497,126.9433403,-0.881962821,-1.2806,0.850214,0.10825449149456177,-0.439521877
46,관악구,S_서울대입구역,37.4795497,126.9433403,-0.881962821,-1.2806,0.831327,0.10825449149456177,-0.443404235
47,관악구,S_신림역,37.4795497,126.9433403,-0.881962821,-1.2806,0.850214,0.10825449149456177,-0.439521877
48,광진구,S_강변역,37.5354211,127.094533,0.786757479,-1.19361,-0.649094,-0.34825388776813776,-0.073369593
49,광진구,S_건대입구(2)역,37.5407487,127.0690014,0.791026123,-1.17844,0.934197,0.39398187484541364,0.14924482
50,광진구,S_광나루역,37.5417175,127.0873849,0.786757479,-1.19361,1.33411,-0.0797490637049977,0.272373301
51,광진구,S_구의역,37.5382826,127.0907553,-1.542716342,-0.532315,-0.636495,-0.22628950052116412,-0.908722397
52,광진구,S_군자(5)역,37.5538892,127.0857152,0.786757479,-1.19361,1.12267,0.05101873780471253,0.208806867
53,광진구,S_뚝섬유원지역,37.5319161,127.0669943,0.786757479,-1.19361,-2.79185,0.3225353578632621,-0.536450789
54,광진구,S_아차산역,37.5538892,127.0857152,0.786757479,-1.19361,1.12267,0.05101873780471253,0.208806867
55,광진구,S_어린이대공원역,37.5486706,127.0759024,0.786757479,-1.19361,0.917128,0.2987105716761718,0.18246152
56,광진구,S_중곡역,37.5486706,127.0759024,0.786757479,-1.19361,-3.24917,0.2987105716761718,-0.673950847
57,구로구,S_구로디지털단지역,37.4851265,126.9015288,0.760389932,-0.90795,-1.43239,0.4052076539039512,-0.371238486
58,구로구,S_남구로역,37.488497,126.8904141,0.092455396,-0.845348,-1.4372,0.365127175196649,-0.551434978
59,구로구,S_대림(2)역,37.4925043,126.8949615,0.092455396,-0.845348,-1.42526,0.48644284175357305,-0.628765246
60,구로구,S_도림천역,37.5144011,126.8826846,0.092455396,-0.845348,1.43721,0.4368706211413163,0.047118581
61,구로구,S_신도림역,37.5047436,126.8874857,0.092455396,-0.845348,1.4336,0.37190053363868075,0.093817875
62,구로구,S_온수역,37.4916055,126.8232976,0.092455396,-0.845348,1.57638,-1.5478078994894202,0.404418208
63,구로구,S_천왕역,37.4943867,126.8325917,0.092455396,-0.845348,1.48483,-1.020849606691089,0.226069469
64,금천구,S_가산디지털단지역,37.4822545,126.8821832,1.857498556,-0.342218,1.27247,0.28194177348835203,0.83267773
65,노원구,S_노원(7)역,37.6562713,127.0624069,-1.263705574,-1.25423,-5.43769,-1.6940887360485133,-1.880826374
66,노원구,S_당고개역,37.6705563,127.0793058,-1.263705574,-1.25423,-5.52722,-2.7559060147593355,-1.660091263
67,노원구,S_마들역,37.6562713,127.0624069,-1.263705574,-1.25423,-5.43769,-1.6940887360485133,-1.880826374
68,노원구,S_상계역,37.6610953,127.0735256,-1.263705574,-1.25423,-5.47692,-2.105788492592002,-1.736042738
69,노원구,S_석계역,37.6245739,127.0830557,-1.263705574,-1.25423,0.0134393,-1.50613542886215,-0.604894325
70,노원구,S_수락산역,37.6562713,127.0624069,-1.263705574,-1.25423,-5.43769,-1.6940887360485133,-1.880826374
71,노원구,S_중계역,37.6562713,127.0624069,-1.263705574,-1.25423,0.386066,-1.6940887360485133,-0.683711655
72,노원구,S_태릉입구(6)역,37.6562713,127.0624069,-1.263705574,-1.25423,0.0795981,-1.6940887360485133,-0.746708325
73,노원구,S_하계역,37.6562713,127.0624069,-1.263705574,-1.25423,0.20664,-1.6940887360485133,-0.720593953
74,노원구,S_화랑대역,37.6245739,127.0830557,-1.263705574,-1.25423,0.164419,-1.50613542886215,-0.573859367
75,도봉구,S_도봉산역,37.6890803,127.046509,0.988155833,-1.35901,0.735139,-3.4976343011810553,0.627058627
76,도봉구,S_쌍문역,37.6703415,127.0407797,0.988155833,-1.35901,-0.964983,-2.4052603204726077,0.183275597
77,도봉구,S_창동역,37.6531856,127.0481139,0.988155833,-1.35901,-0.899772,-1.5949278661208284,-0.04042512
78,동대문구,S_신설동역,37.5803953,127.0379534,0.731089898,-1.13829,1.45704,0.7129882806177031,0.263447048
