번호,상호명,주소,Latitude,Longitude
58,유센로지스틱스코리아(주),서울특별시 강서구 하늘길 251 (공항동),37.555525,126.8067017
59,(주)임박사농업회사법인,"서울특별시 강서구 등촌로 59-1, 지1층 (화곡동)",37.5353432,126.8631622
60,세화,"서울특별시 성동구 마장로35길 76, 지층 201,202호 (마장동, 현대아파트)",37.57016,127.042999
61,양평냉동,서울특별시 성동구 고산자로20길 9(지하1층 마장동),37.5679461,127.0380237
62,대성빌딩,"서울특별시 성동구 마장로35라길 16, 지하1층 (마장동)",37.5698073,127.0410811
63,대용상가,"서울특별시 성동구 마장로35다길 9, 지층,2층 (마장동, 농협)",37.5695895,127.0406684
64,명진축산,"서울특별시 성동구 마장로35나길 3-12, 1층 (마장동)",37.5689549,127.0399623
65,대명,"서울특별시 성동구 마장로35길 76, 지층 117호 (마장동, 현대아파트)",37.5695013,127.0424514
66,대동빌딩,"서울특별시 성동구 마장로37길 59, 지층 (마장동)",37.57052,127.0418553
67,낭만,"서울특별시 성동구 마장로35길 76, 지층 119호~123호 (마장동, 현대아파트)",37.5695013,127.0424514
68,수협중앙회 강서공판장,서울특별시 강서구 발산로 24 (외발산동),37.553324,126.8189946
69,(주)우성에프아이,서울특별시 강서구 하늘길 112 (공항동),37.555525,126.8067017
70,(주)부경로지스틱스 보세창고,"서울특별시 강서구 하늘길 210, 구화물청사동 1층 (공항동, 한국항공화물청사)",37.555525,126.8067017
71,주식회사 발렉스,"서울특별시 강서구 하늘길 247, 1층 (공항동, 물류창고)",37.5521647,126.8140892
72,우성보세창고,"서울특별시 강서구 하늘길 227 (공항동, 보세창고)",37.555525,126.8067017
73,(주)와우로지스틱스,"서울특별시 강서구 하늘길 210, 8-2호 (공항동,화물청사)",37.555525,126.8067017
74,디에이치엘서플라이체인코리안(주) 김포센터,서울특별시 강서구 하늘길 251 (공항동),37.555525,126.8067017
75,(주)발렉스 특수물류,"서울특별시 강서구 하늘길 112, 김포공항 (공항동)",37.555525,126.8067017
76,샬롬종합물류(주),서울특별시 강서구 하늘길 210 (공항동),37.555525,126.8067017
77,(주)우성에프아이,서울특별시 강서구 하늘길 112(공항동),37.555525,126.8067017
78,주식회사 발렉스,서울특별시 강서구 하늘길 247(1층 공항동),37.5521647,126.8140892
79,유센로지스틱스코리아 보세창고,"서울특별시 강서구 하늘길 210 (공항동, 한국항공화물청사)",37.555525,126.8067017
80,와우로지스틱스 제2 보세창고,서울특별시 강서구 하늘길 210 (공항동),37.555525,126.8067017
81,(주)부경로지스틱스 보세창고,"서울특별시 강서구 하늘길 210 (공항동, 한국항공화물청사)",37.555525,126.8067017
82,(주)태영종합물류 보세창고,서울특별시 성동구 아차산로15길 28,37.5451798,127.063502
83,(주)위드종합물류 보세창고,서울특별시 강서구 하늘길 251 (공항동),37.555525,126.8067017
84,주식회사 발렉스 보세창고,"서울특별시 강서구 하늘길 247 (공항동, 물류창고)",37.5521647,126.8140892
85,아시아나항공(주)인천화물,"서울특별시 강서구 하늘길 210 (공항동, 한국항공화물청사)",37.555525,126.8067017
86,와우로지스틱스 보세창고,"서울특별시 강서구 하늘길 210 (공항동, 한국항공화물청사)",37.555525,126.8067017
87,래온로지스틱스 보세창고,서울특별시 강서구 하늘길 210 (공항동),37.555525,126.8067017
88,대한항공 김포 보세창고,"서울특별시 강서구 하늘길 246 (공항동, 대한항공화물청사)",37.5520019,126.8127133
