index,호선,역사명,구,도로명주소,Latitude,Longitude,월임대료 평균,면적 평균,면적 당 임대료,엘리베이터유무,pc1,pc2,pc3
52,2,충정로(2)역,서대문구,서울특별시 서대문구 서소문로 지하17(충정로3가),37.5612786,126.9693213,4602947.5,20.37333333,225930.0148,0,0.831232,-1.33294,-0.185672
53,2,용답역,성동구,서울특별시 성동구 용답길 86(용답동),37.5586888,127.0531724,0,0,0,0,1.55961,-1.23871,0.53138
54,2,신답역,성동구,서울특별시 성동구 천호대로 232(용답동),37.569744,127.0469446,0,0,0,0,1.55961,-1.23871,0.53138
55,2,신설동역,동대문구,서울특별시 동대문구 왕산로 지하 1(신설동),37.5803953,127.0379534,0,0,0,0,0.217542,-1.88592,0.0418715
56,2,도림천역,구로구,서울특별시 구로구 경인로67길 160(신도림동),37.5144011,126.8826846,0,0,0,0,-0.190459,-0.776803,0.00457076
57,2,양천구청역,양천구,서울특별시 양천구 목동로3길 지하33(신정동),37.5109528,126.8630883,886500,22.44,39505.34759,0,-2.10509,-1.40919,-0.464912
58,2,신정네거리역,양천구,서울특별시 양천구 중앙로 지하261(신정동),37.520694,126.8523726,0,42.45,0,0,-2.10509,-1.40919,-0.464912
59,2,용두역,동대문구,서울특별시 동대문구 천호대로 지하129(용두동),37.5690448,127.044881,0,0,0,0,0.217542,-1.88592,0.0418715
60,3,구파발역,은평구,서울특별시 은평구 진관2로 지하15-25 (진관동),37.6354486,126.9231387,0,0,0,0,-1.76666,-0.432013,0.405047
61,3,연신내(3)역,은평구,서울특별시 은평구 통일로 지하849(갈현동),37.6123992,126.9292744,1704600,26.024,65501.07593,0,-1.76666,-0.432013,0.405047
62,3,불광(3)역,은평구,서울특별시 은평구 통일로 지하723-1(대조동),37.6123992,126.9292744,1334749.2,23.77,56152.67985,0,-1.76666,-0.432013,0.405047
63,3,녹번역,은평구,서울특별시 은평구 통일로 지하602-1(녹번동),37.6123992,126.9292744,802020,35.714,22456.73965,0,-1.76666,-0.432013,0.405047
64,3,홍제역,서대문구,서울특별시 서대문구 통일로 지하440-1(홍제동),37.581817,126.9508662,2420400,205.8514286,11757.99467,0,0.831232,-1.33294,-0.185672
65,3,무악재역,서대문구,서울특별시 서대문구 통일로 지하361(홍제동),37.581817,126.9508662,0,0,0,0,0.831232,-1.33294,-0.185672
66,3,독립문역,서대문구,서울특별시 서대문구 통일로 지하247(현저동),37.581817,126.9508662,0,0,0,0,0.831232,-1.33294,-0.185672
67,3,경복궁역,종로구,서울특별시 종로구 사직로 지하130(적선동),37.5748378,126.9680507,1508490,25.5,59156.47059,0,5.43797,2.23685,-1.13737
68,3,안국역,종로구,서울특별시 종로구 율곡로 지하62(안국동),37.574971,126.9981589,1099188.889,24.76222222,44389.75142,0,5.43797,2.23685,-1.13737
69,3,종로3가(3)역,종로구,서울특별시 종로구 돈화문로 지하30(묘동),37.572069,126.9915237,7484386.333,49.2,152121.6734,0,5.43797,2.23685,-1.13737
70,3,을지로3가(3)역,중구,서울특별시 중구 을지로 지하129(을지로3가),37.5665899,126.9982939,2625933.333,18.86666667,139183.7455,0,7.57404,3.98087,0.601224
71,3,충무로역,중구,서울특별시 중구 퇴계로 지하214(필동2가),37.5609724,126.9945971,0,0,0,0,7.57404,3.98087,0.601224
72,3,동대입구역,중구,서울특별시 중구 동호로 지하256(장충동2가),37.5610737,127.0058135,675220.875,27.79125,24296.16786,0,7.57404,3.98087,0.601224
73,3,약수(3)역,중구,서울특별시 중구 다산로 지하122(신당동),37.5584387,127.0119475,3513407,16.945,207341.8117,0,7.57404,3.98087,0.601224
