index,dong,name_subway,Latitude,Longitude
97,마포구,S_마포구청역,37.5593963,126.9058128
98,마포구,S_마포역,37.5458958,126.9515058
99,마포구,S_망원역,37.5593963,126.9058128
100,마포구,S_상수역,37.5467114,126.9328565
101,마포구,S_신촌역,37.5575088,126.944032
102,마포구,S_아현역,37.5575088,126.944032
103,마포구,S_애오개역,37.5458958,126.9515058
104,마포구,S_월드컵경기장역,37.5593963,126.9058128
105,마포구,S_이대역,37.5575088,126.944032
106,마포구,S_합정(2)역,37.552785,126.9186125
107,마포구,S_홍대입구역,37.552785,126.9186125
108,서대문구,S_충정로(2)역,37.5612786,126.9693213
109,서대문구,S_홍제역,37.581817,126.9508662
110,서초구,S_교대(3)역,37.4900549,127.0007641
111,서초구,S_독립문역,37.581817,126.9508662
112,서초구,S_무악재역,37.581817,126.9508662
113,서초구,S_방배역,37.4866882,126.9948792
114,서초구,S_서초역,37.4900549,127.0007641
115,성동구,S_금호역,37.5466746,127.0162448
116,성동구,S_답십리역,37.5636987,127.0582683
117,성동구,S_뚝섬역,37.5471773,127.0473802
118,성동구,S_마장역,37.5663079,127.0369547
119,성동구,S_상왕십리역,37.5549336,127.0367427
120,성동구,S_성수역,37.5446009,127.0568847
121,성동구,S_신금호역,37.5512857,127.023034
122,성동구,S_신답역,37.569744,127.0469446
123,성동구,S_옥수역,37.5398948,127.0172208
124,성동구,S_왕십리(2)역,37.5549336,127.0367427
125,성동구,S_용답역,37.5586888,127.0531724
126,성동구,S_한양대역,37.5552593,127.0436579
127,성동구,S_행당역,37.5561971,127.0261975
128,성북구,S_고려대역,37.602119,127.0332133
129,성북구,S_길음역,37.5973535,127.0188961
130,성북구,S_돌곶이역,37.6052866,127.0403349
131,성북구,S_보문역,37.5866336,127.0181024
132,성북구,S_상월곡역,37.6052866,127.0403349
133,성북구,S_성신여대입구역,37.5973535,127.0188961
134,성북구,S_안암역,37.590403,127.035926
135,성북구,S_월곡역,37.5965761,127.0389176
136,성북구,S_한성대입구역,37.5884105,127.0103449
