역사명,Latitude,Longitude,면적 평균,면적 당 임대료,pc1,pc2,pc3
길음역,37.5973535,127.0188961,60.02,62046.65945,-1.31044,-0.672619,0.261881
성신여대입구역,37.5973535,127.0188961,22.76,103999.1213,-1.31044,-0.672619,0.261881
한성대입구역,37.5884105,127.0103449,69.34,0,-1.31044,-0.672619,0.261881
혜화역,37.5769696,127.0020331,18.73,342231.7138,5.43797,2.23685,-1.13737
동대문(4)역,37.574971,126.9981589,23.69083333,143050.3155,5.43797,2.23685,-1.13737
동대문역사문화공원(4)역,37.5599921,127.0053457,39.295,108553.5819,7.57404,3.98087,0.601224
충무로(4)역,37.5609724,126.9945971,22.4,184690,7.57404,3.98087,0.601224
명동역,37.5609724,126.9945971,26,369448.9231,7.57404,3.98087,0.601224
회현역,37.5609724,126.9945971,44,211954.5455,7.57404,3.98087,0.601224
서울역,37.5516714,126.972922,0,0,3.29565,-0.684115,-0.732332
숙대입구역,37.5516714,126.972922,17.25,131594.2029,3.29565,-0.684115,-0.732332
삼각지역,37.5516714,126.972922,0,0,3.29565,-0.684115,-0.732332
신용산역,37.5516714,126.972922,17.77363636,68552.65717,3.29565,-0.684115,-0.732332
이촌역,37.5231023,126.9844401,20.65,66606.63438,3.29565,-0.684115,-0.732332
동작역,37.5034647,126.9799265,15.58333333,214010.6952,-0.0745646,-1.48728,1.57093
총신대입구역,37.4859712,126.9815356,20.45,110467.8148,-0.0745646,-1.48728,1.57093
사당(4)역,37.4859712,126.9815356,89.668,111152.1249,-0.0745646,-1.48728,1.57093
남태령역,37.4714316,126.9832228,0,0,-0.746933,3.02472,0.773993
방화역,37.5746758,126.811399,35.265,104877.6407,-4.16236,1.24139,0.620214
개화산역,37.5722225,126.8059564,30,136171.7333,-4.16236,1.24139,0.620214
김포공항역,37.5551049,126.8058738,43.97076923,87151.36556,-4.16236,1.24139,0.620214
송정역,37.5533338,126.8510294,34.88,75248.47096,-4.16236,1.24139,0.620214
마곡역,37.5533338,126.8510294,0,0,-4.16236,1.24139,0.620214
